rate,latency_mean,latency_p95,latency_p99,success_rate
1,1.348,1.965,1.965,1
501,1.091,1.901,2.281,1
1001,.924,1.666,2.071,1
1501,.946,1.640,4.207,1
2001,1.465,5.549,16.782,1
2501,2.075,12.022,20.890,1
3001,2.231,12.053,19.390,1
3501,2.799,15.054,23.337,1
4001,3.376,17.133,25.202,1
4501,3.646,18.218,26.299,1
5001,3.476,16.342,23.207,1
5501,3.726,17.192,24.164,1
6001,3.877,16.414,23.552,1
6501,4.168,16.846,23.366,1
7001,4.689,18.002,24.248,1
7501,4.988,18.601,24.620,1
8001,5.147,18.774,25.919,1
8501,5.739,20.003,25.889,1
9001,5.680,18.414,24.714,1
9501,6.047,19.724,26.470,1
