rate,latency_mean,latency_p95,latency_p99,success_rate
1,1.111,2.043,4.052,1
501,.719,1.242,1.557,1
1001,.666,1.189,1.537,1
1501,.733,1.241,2.786,1
2001,1.158,2.989,15.976,1
2501,1.759,11.169,19.617,1
3001,2.437,14.347,20.820,1
3501,2.658,14.693,20.125,1
4001,3.607,17.208,24.365,1
4501,4.000,17.359,23.587,1
5001,3.720,16.431,20.286,1
5501,4.048,16.725,20.003,1
6001,5.255,19.453,26.694,1
6501,5.243,18.217,24.786,1
7001,5.164,17.872,22.620,1
7501,5.670,18.187,25.324,1
8001,6.171,19.030,26.353,1
8501,6.744,20.447,28.178,1
9001,6.273,18.555,23.983,1
9501,6.404,18.704,25.147,1
